Tournament ID,Year,Round,Location,Winner,Winner ID,Loser,Loser Id,Match Length,1st Set,2nd Set,3rd Set,4th Set,5th Set
339,2025,Final,brisbane_international_presented_by_evie,Jiri Lehecka,l0bv,Reilly Opelka,o522,00:13:09,-,-,-,-,-
339,2025,Semifinals,brisbane_international_presented_by_evie,Jiri Lehecka,l0bv,Grigor Dimitrov,d875,01:23:33, 6  -  4 , 4  -  4 ,-,-,-
339,2025,Semifinals,brisbane_international_presented_by_evie,Reilly Opelka,o522,Giovanni Mpetshi Perricard,m0gz,01:26:13, 6  -  3 , 7  -  6 4 ,-,-,-
339,2025,Quarterfinals,brisbane_international_presented_by_evie,Reilly Opelka,o522,Novak Djokovic,d643,01:40:11, 7  -  6 6 , 6  -  3 ,-,-,-
339,2025,Quarterfinals,brisbane_international_presented_by_evie,Grigor Dimitrov,d875,Jordan Thompson,tc61,00:43:03, 6  -  1 , 2  -  1 ,-,-,-
339,2025,Quarterfinals,brisbane_international_presented_by_evie,Jiri Lehecka,l0bv,Nicolas Jarry,j551,01:29:50, 6  -  4 , 6  -  4 ,-,-,-
339,2025,Quarterfinals,brisbane_international_presented_by_evie,Giovanni Mpetshi Perricard,m0gz,Jakub Mensik,m0ni,01:32:08, 7  -  5 , 7  -  6 5 ,-,-,-
339,2025,Round of 16,brisbane_international_presented_by_evie,Novak Djokovic,d643,Gael Monfils,mc65,01:12:49, 6  -  3 , 6  -  3 ,-,-,-
339,2025,Round of 16,brisbane_international_presented_by_evie,Giovanni Mpetshi Perricard,m0gz,Frances Tiafoe,td51,01:32:51, 6  -  4 , 7  -  6 4 ,-,-,-
339,2025,Round of 16,brisbane_international_presented_by_evie,Jakub Mensik,m0ni,Dusan Lajovic,l987,01:05:11, 6  -  3 , 6  -  2 ,-,-,-
339,2025,Round of 16,brisbane_international_presented_by_evie,Reilly Opelka,o522,Matteo Arnaldi,a0fc,01:56:38, 7  -  6 9 , 7  -  6 4 ,-,-,-
339,2025,Round of 16,brisbane_international_presented_by_evie,Grigor Dimitrov,d875,Aleksandar Vukic,v832,01:23:14, 6  -  2 , 7  -  6 5 ,-,-,-
339,2025,Round of 16,brisbane_international_presented_by_evie,Jordan Thompson,tc61,Alex Michelsen,m0qi,01:42:45, 7  -  5 , 6  -  3 ,-,-,-
339,2025,Round of 16,brisbane_international_presented_by_evie,Nicolas Jarry,j551,Benjamin Bonzi,bm95,01:05:59, 6  -  2 , 6  -  3 ,-,-,-
339,2025,Round of 16,brisbane_international_presented_by_evie,Jiri Lehecka,l0bv,Yoshihito Nishioka,n732,02:19:43, 6  -  2 , 6 5  -  7 , 6  -  4 ,-,-
339,2025,Round of 32,brisbane_international_presented_by_evie,Novak Djokovic,d643,Rinky Hijikata,h0bh,01:14:39, 6  -  3 , 6  -  3 ,-,-,-
339,2025,Round of 32,brisbane_international_presented_by_evie,Frances Tiafoe,td51,Adam Walton,w09e,01:30:47, 7  -  6 5 , 6  -  3 ,-,-,-
339,2025,Round of 32,brisbane_international_presented_by_evie,Matteo Arnaldi,a0fc,Alexei Popyrin,p09z,01:09:19, 6  -  3 , 6  -  2 ,-,-,-
339,2025,Round of 32,brisbane_international_presented_by_evie,Dusan Lajovic,l987,Arthur Cazaux,c0h0,01:41:37, 6  -  4 , 6  -  4 ,-,-,-
339,2025,Round of 32,brisbane_international_presented_by_evie,Jakub Mensik,m0ni,Mikhail Kukushkin,k926,01:34:19, 7  -  6 3 , 6  -  4 ,-,-,-
339,2025,Round of 32,brisbane_international_presented_by_evie,Gael Monfils,mc65,Nishesh Basavareddy,b0nn,01:49:42, 6  -  4 , 4  -  6 , 6  -  1 ,-,-
339,2025,Round of 32,brisbane_international_presented_by_evie,Giovanni Mpetshi Perricard,m0gz,Nick Kyrgios,ke17,02:27:14, 7  -  6 2 , 6 4  -  7 , 7  -  6 3 ,-,-
339,2025,Round of 32,brisbane_international_presented_by_evie,Reilly Opelka,o522,Federico Agustin Gomez,gj16,01:15:29, 7  -  5 , 6  -  4 ,-,-,-
339,2025,Round of 32,brisbane_international_presented_by_evie,Grigor Dimitrov,d875,Yannick Hanfmann,h997,01:47:44, 7  -  6 5 , 6  -  3 ,-,-,-
339,2025,Round of 32,brisbane_international_presented_by_evie,Jiri Lehecka,l0bv,Holger Rune,r0dg,01:24:42, 7  -  5 , 6  -  3 ,-,-,-
339,2025,Round of 32,brisbane_international_presented_by_evie,Benjamin Bonzi,bm95,Alejandro Tabilo,te30,02:48:51, 6 8  -  7 , 7  -  6 5 , 6  -  4 ,-,-
339,2025,Round of 32,brisbane_international_presented_by_evie,Jordan Thompson,tc61,Matteo Berrettini,bk40,02:14:08, 3  -  6 , 6  -  3 , 6  -  4 ,-,-
339,2025,Round of 32,brisbane_international_presented_by_evie,Nicolas Jarry,j551,Mariano Navone,n0bs,01:48:45, 7  -  5 , 7  -  6 7 ,-,-,-
339,2025,Round of 32,brisbane_international_presented_by_evie,Alex Michelsen,m0qi,Christopher O'Connell,o483,02:24:25, 6  -  4 , 4  -  6 , 7  -  6 10 ,-,-
339,2025,Round of 32,brisbane_international_presented_by_evie,Yoshihito Nishioka,n732,Arthur Rinderknech,rc91,01:14:45, 6  -  3 , 6  -  4 ,-,-,-
339,2025,Round of 32,brisbane_international_presented_by_evie,Aleksandar Vukic,v832,David Goffin,gb88,01:22:13, 6  -  2 , 6  -  3 ,-,-,-
339,2025,2nd Round Qualifying,brisbane_international_presented_by_evie,Yoshihito Nishioka,n732,Li Tu,tc01,02:04:17, 6  -  3 , 2  -  6 , 6  -  4 ,-,-
339,2025,2nd Round Qualifying,brisbane_international_presented_by_evie,Benjamin Bonzi,bm95,Adrian Andreev,a0ab,00:20:21,-,-,-,-,-
339,2025,2nd Round Qualifying,brisbane_international_presented_by_evie,Federico Agustin Gomez,gj16,Dusan Lajovic,l987,01:09:29, 6  -  1 , 7  -  6 4 ,-,-,-
339,2025,2nd Round Qualifying,brisbane_international_presented_by_evie,Yannick Hanfmann,h997,Richard Gasquet,g628,01:37:58, 7  -  6 4 , 6  -  3 ,-,-,-
